,Track No.,fi_length_avg,length_slp,fi_area_avg,area_slp,fi_chiral_avg,chiral_slp,fi_tilt_avg,tilt_slp,Eruption
25,941.0,10102761466.0,19508.5031135,1023.33304891,0.00271973879399,0.0,0.0,-68.55692,0.365113597876,1.0
26,956.0,10352872784.3,10679.728703,2361.28794466,0.00324781068209,0.142857142857,1.91865912767,27.7357328571,0.834323981169,1.0
27,993.0,11035553300.0,9214.20847767,1463.63563169,0.0038809195034,0.6,2.30977463922,46.91862,3.06669681305,1.0
28,1028.0,7956574676.67,5565.27417277,1227.41590715,-0.000353977614038,-0.222222222222,4.20868901609,53.2016777778,0.614387370747,1.0
29,1030.0,4610102142.5,-12287.0336091,465.878332359,-0.00130126452337,0.0,0.0,33.979225,1.29302362745,1.0
30,1055.0,7594731173.08,-4040.20581291,830.696131292,-0.000872118109121,0.153846153846,0.08357867134,25.5913213846,-1.17282016413,1.0
31,1075.0,7115468975.0,10556.6127608,457.953343367,0.000591913481889,0.0,0.0,-5.48297333333,0.791584686552,1.0
32,1096.0,4161648515.0,-39012.6406289,486.258671372,-0.00145508971917,0.0,-45.3093495843,-7.97055,15.9293853787,1.0
33,1101.0,6421859960.0,83515.991887,717.567945132,0.00729280298676,0.0,-23.0483785466,78.67015,2.12336644617,1.0
34,1135.0,6134853900.0,-37980.509975,546.563379387,-0.00135240659964,0.5,18.2525051563,74.04865,-2.86219358607,1.0
35,1178.0,8771744781.67,6980.7728131,767.726253392,0.00186295958891,0.166666666667,1.13702151831,56.5290666667,-0.395447200764,1.0
36,1199.0,6285527240.0,15000.5561836,556.919231501,0.00188400191534,0.2,-0.421384184964,0.13724,-3.1300893983,1.0
37,1202.0,5477122175.0,14960.4200593,1002.01636909,0.00321689015734,-0.166666666667,2.76214971487,8.644005,4.56676718097,1.0
38,1246.0,13058978325.0,2770.80145733,4035.26554187,0.015787200175,0.25,2.01841925554,-41.201325,3.97535686837,1.0
39,1286.0,6429032852.0,-26326.918369,615.422752377,-0.0017504255818,0.2,-2.2112043302,21.894984,0.870884499261,1.0
40,1396.0,7510104508.33,27112.9745674,829.594671874,0.00427954429082,0.166666666667,2.5245419778,-55.0087666667,2.58635624346,1.0
41,1399.0,10332382320.0,84555.5858918,1970.34999499,0.0212012124972,0.333333333333,5.62704230616,-42.9889666667,3.94148089863,1.0
42,1403.0,6180970242.86,-8434.02782888,548.726572849,-0.000441150096272,-0.142857142857,0.696290082982,-39.6659285714,-1.27580723235,1.0
43,1409.0,11552166938.4,9094.07737437,1802.30316097,0.00239591046244,0.105263157895,-1.06675311156,-13.8721867895,0.18400115397,1.0
44,1410.0,2654845700.0,5497.38330402,286.053562084,-0.000539875180294,0.0,0.0,-15.5284756667,8.71704527332,1.0
45,1441.0,9662681766.67,-38595.6230353,793.922457692,-0.00304849117262,0.0,-3.35221261391,11.3841,4.88196354194,1.0
46,1450.0,9220200972.5,10422.5739288,1468.73266433,-0.00662891102962,0.25,-11.2047874367,8.400505,2.21642748676,1.0
47,1480.0,6734494942.86,2491.52412052,418.497979314,0.000773155285448,0.0,0.0,21.6454071429,-0.650729573258,1.0
48,1492.0,6098978563.33,73709.8862121,680.909224053,0.0105770938562,-0.333333333333,-6.60693536583,36.1667666667,7.16385511876,1.0
49,1512.0,6768655523.33,99344.1339107,1624.02151487,0.0375144227462,0.333333333333,-12.1379208971,-12.22383,-9.923958677,1.0
50,1568.0,19462890375.0,91978.6179787,2477.08157719,0.0148018812854,0.375,2.82254442226,-37.3394125,1.930607748,1.0
51,1614.0,6565362895.0,-24393.3835846,939.735886595,-0.000855282715685,0.5,2.37014100401,17.711905,0.270820914574,1.0
52,1626.0,4879175838.0,-8748.68995967,726.326119912,-0.00168296189477,0.4,-2.99180447381,-0.644546,1.20041566158,1.0
53,1655.0,6529482173.33,35593.3597481,1113.69929505,0.0127893122193,0.333333333333,6.01530688359,-21.9436333333,1.27510090316,1.0
54,1728.0,13417736443.3,97587.5682002,2294.04458469,0.0216748736731,-0.666666666667,-5.80729144054,-47.6238,3.64211959042,1.0
55,1777.0,8347215281.67,68417.1905785,460.289446918,0.00303875635768,0.0,0.0,-16.15705,-1.60102481448,1.0
56,1788.0,26292199028.6,226330.411293,6321.70571515,0.0477770923796,0.571428571429,1.40841079673,-15.9095428571,2.68666619089,1.0
57,1800.0,19767815520.0,666555.812147,3571.78310963,0.125189218709,1.0,2.26302915766e-15,15.92075,1.91961125056,1.0
58,1869.0,8442904566.67,-32612.1074592,1181.96017036,-0.00761441092591,0.0,-8.99078999431,-27.9411,-0.280612880368,1.0
59,1870.0,10715038400.0,-13726.4628121,979.055786272,-0.000271005372262,-0.333333333333,2.69512306422,-59.3496333333,0.882915682187,1.0
60,1882.0,6206604400.0,-4114.23164838,636.202528504,0.00219756558138,0.5,-0.201698648133,82.1774,0.379052305225,1.0
61,1891.0,17232570958.3,15801.0425325,2723.98072501,0.00292076414201,0.0833333333333,-1.31908663266,-1.95139875,1.94139867106,1.0
62,1903.0,4412786165.0,17290.1415146,608.991246055,0.00277477676247,0.0,0.0,58.56095,-1.40706258626,1.0
63,1909.0,7995288138.57,-6249.24119369,862.434964118,0.000191183062341,0.0,1.26759809681,3.60924285714,2.06028108788,1.0
64,1916.0,5264845025.0,11708.3427712,686.81309403,0.00376335370425,-0.25,-0.761924579609,52.06255,-0.842728276217,1.0
