,Track No.,avg_len,len_slope,len_stdev,len_skew,avg_area,area_slope,avg_chirality,area_stdev,area_skew,chirality_slope,avg_decay_index,decay_index_slope,avg_barbs,barb_slope,barb_stdev,barb_skew,avg_tilt,tilt_slope,tilt_stdev,tilt_skew,avg_xcen,avg_ycen,avg_L_to_W,L_to_W_slope,L_to_W_stdev,L_to_W_skew,solar_region,active_region
63,1933.0,17457404083.0,38482.5184213,8106127923.77,-0.0015942155066,4008.52208435,0.00521753569242,-0.5,2149.30778572,-0.26095595672,1.1607973516e-06,0.4734093,-1.29462489349e-06,5.1,7.92432290815e-06,2.9478805946,0.276846515867,-44.40041,0.000106849477858,23.1448494379,-0.0484749853713,-493.34587101,-197.1963989,1.06021929741,1.3833913157e-06,0.258481909853,0.623390587371,0.0,0.0
64,1957.0,9892876010.0,30168.8070724,5458192796.74,0.421484980451,630.666664288,0.00244450463632,0.0,432.501570543,0.712411398279,0.0,0.440704625,2.39637638195e-07,0.5,5.70339078484e-06,1.32287565553,2.26778683806,22.84165825,-8.19543866948e-05,32.2892743257,0.726368526849,-393.9227786,242.0563755,1.66995914379,6.10700110513e-07,0.682307070434,0.447223402954,0.0,0.0
65,1972.0,5943497846.67,6355.32938571,1357244273.49,0.0831387810526,405.198259895,0.000574454837838,0.0,123.428330413,0.313446896996,0.0,0.362008666667,-4.94072970865e-07,0.333333333333,3.02688225187e-06,0.471404520791,0.707106781187,52.3125666667,0.000403851520025,63.1551196348,-1.75169208955,-68.1981794833,-417.635498333,0.418224126399,2.68126317843e-07,0.0616350781833,0.530594157506,0.0,1.0
66,1978.0,9794226807.5,40077.1044758,4131072374.67,-0.474222820269,1173.61792403,0.00631008855949,0.5,700.253085494,0.149840124205,3.96698823261e-06,0.679108,-7.8870729966e-07,3.25,2.71052771215e-05,3.49106001094,0.848320696939,-0.8257,0.000429639643737,84.5176872302,0.000567007691342,-631.65901175,-277.826496,0.401872330487,-4.69156683263e-07,0.0723793073616,0.185215051836,0.0,0.0
67,1994.0,5453194958.0,27474.8252335,2871893317.05,0.499872983488,331.567792085,0.00121258647312,0.0,139.708587041,0.276338394731,0.0,0.5033042,2.43345999035e-06,1.0,-2.33984009133e-06,0.632455532034,0.0,-16.95996,-0.000382683051352,29.5465017482,-0.108974992599,-524.3170046,122.259601,1.67248968039,-1.77609446904e-06,0.701656094807,1.22031791876,0.0,1.0
68,1996.0,4358967867.5,-7833.96672662,685179557.397,1.03776926003,824.343118389,-0.0026345181998,0.0,270.397809867,0.781954208607,-1.01342564602e-05,0.4170945,-3.20297232553e-06,1.25,-3.01162473732e-06,0.829156197589,-0.493382200218,-11.6388425,-2.2660125681e-05,2.82305214447,0.403360127717,-195.96127685,-819.46575925,1.49271665336,-1.37024363126e-06,0.0925643921574,0.0400371356159,1.0,1.0
69,2145.0,7838974000.0,10270.9243715,3576090622.76,0.189182414373,1062.38383791,0.00191171412627,0.0,410.835084458,-0.0134197142952,3.43194593967e-06,0.560471625,-7.98243252507e-07,2.875,9.29229806273e-08,1.16592238164,0.24399802517,30.24334,-6.91524837924e-05,27.4176457266,0.680579641722,-422.098453213,-459.120998375,1.38255666811,3.6929221603e-06,0.574092119218,0.665138589103,0.0,0.0
70,2156.0,12619487463.8,55738.9085072,9587123471.56,1.32632316552,2887.44697604,0.0122849735244,0.0,2008.69506417,0.856539224813,-2.04250444722e-06,0.6843473,-2.40660238521e-06,5.75,2.58418750335e-05,4.08503365959,0.82928091461,7.572257125,-1.67995539995e-05,25.2289503492,0.846591809714,-402.121690438,572.324630625,2.11951474072,6.85238618718e-06,1.14432843809,1.1421126214,0.0,1.0
71,2205.0,9865968650.0,2143.65516396,7024147803.73,0.963660194334,776.646510935,-0.000935279745982,0.0,401.8911478,1.1084724259,0.0,0.33997625,1.752940958e-06,3.25,-1.14048151399e-05,1.78535710714,0.411847083538,-12.033537,-4.07921217532e-05,10.7663439363,-0.135258671034,78.86475175,180.4507525,1.51629293471,2.90138558433e-06,0.313038220527,0.0610345110498,0.0,1.0
72,2243.0,5123136336.0,-12952.7389147,1646626156.52,-0.249651045065,993.968726366,-0.00273135967982,0.2,462.931881077,0.135469441032,1.12189730751e-06,0.02892396,3.34463222571e-06,2.4,-2.35029692799e-06,1.49666295471,0.730195893082,-19.0102,-0.000615602415735,69.100888614,0.508404609314,-140.51272356,-726.9531982,0.891369135309,2.14740526408e-07,0.252213622071,0.0117473180426,0.0,0.0
73,2286.0,15319180300.0,-29061.8576139,5709426442.08,0.266986888669,1333.80238965,-0.00216980524376,0.333333333333,719.838301071,1.25071435422,-1.53379529016e-06,0.1739575,-6.3497093487e-07,1.83333333333,-1.26556069491e-05,1.77169096879,0.612717308965,-41.1916283333,-5.62082774677e-05,21.7779392044,0.627478933065,10.5174821667,-424.355168667,0.925062276769,-9.55405432713e-07,0.226514884352,0.292517779581,0.0,1.0
74,2289.0,4671888387.78,14552.8767224,3365398698.66,2.16707141104,478.110655565,0.00100340979813,0.222222222222,250.56685773,1.51756991247,2.57429003507e-07,0.3407862,-5.13951872266e-07,2.66666666667,5.66171212395e-06,1.76383420738,1.48486042968,-7.75086666667,0.000142001126933,38.0377233196,0.537735331925,-457.449017144,-437.924106222,1.24610586611,9.6848067929e-07,0.30399295542,1.50881932432,0.0,0.0
